day_of_year,threshold_15,threshold_31
147,302.5130920410156,302.7386169433594
148,302.7746887207031,302.92242431640625
149,302.9648132324219,303.10272216796875
150,303.1564636230469,303.2805480957031
151,303.3183898925781,303.47552490234375
152,303.46173095703125,303.7073059082031
153,303.6468505859375,303.9208984375
154,303.900634765625,304.1331787109375
155,304.1025695800781,304.36083984375
156,304.2818603515625,304.606201171875
157,304.4850158691406,304.8464660644531
158,304.6688537597656,305.0921325683594
159,304.8755798339844,305.32708740234375
160,305.1354675292969,305.5473937988281
161,305.3612365722656,305.78009033203125
162,305.5512390136719,306.02410888671875
163,305.7998352050781,306.2608642578125
164,306.0748596191406,306.4758605957031
165,306.3713684082031,306.6882629394531
166,306.6914978027344,306.90045166015625
167,307.0227355957031,307.1192626953125
168,307.2961120605469,307.3377685546875
169,307.5336608886719,307.5400085449219
170,307.7767639160156,307.7203674316406
171,307.99005126953125,307.8937683105469
172,308.1707763671875,308.0510559082031
173,308.36383056640625,308.1987609863281
174,308.5565185546875,308.329345703125
175,308.717562866211,308.4532165527344
176,308.8967590332031,308.5760498046875
177,309.0322265625,308.71063232421875
178,309.1206970214844,308.85107421875
179,309.2037048339844,308.95928955078125
180,309.2567138671875,309.0517578125
181,309.3095703125,309.1624755859375
182,309.3271179199219,309.2641296386719
183,309.3368225097656,309.3551330566406
184,309.3705749511719,309.4471130371094
185,309.4290771484375,309.54840087890625
186,309.52001953125,309.6461486816406
187,309.5838317871094,309.7435607910156
188,309.6376647949219,309.8304748535156
189,309.69439697265625,309.9320983886719
190,309.7613220214844,309.9957580566406
191,309.8309326171875,310.0415954589844
192,309.87640380859375,310.0935974121094
193,309.9638671875,310.1375732421875
194,310.0697326660156,310.19476318359375
195,310.200439453125,310.2303161621094
196,310.3238525390625,310.2953796386719
197,310.4947509765625,310.3382263183594
198,310.611083984375,310.37945556640625
199,310.66107177734375,310.4412536621094
200,310.6785888671875,310.5021667480469
201,310.69268798828125,310.55450439453125
202,310.78076171875,310.5993347167969
203,310.8194885253906,310.6211853027344
204,310.86187744140625,310.6237487792969
205,310.87945556640625,310.6251220703125
206,310.89739990234375,310.6523132324219
207,310.9522705078125,310.6624755859375
208,310.991455078125,310.6430969238281
209,311.0011901855469,310.6130676269531
210,310.99114990234375,310.6168212890625
211,310.9307556152344,310.6147766113281
212,310.8096008300781,310.61688232421875
213,310.72674560546875,310.6063537597656
214,310.70611572265625,310.5925598144531
215,310.6681213378906,310.5845642089844
216,310.5953063964844,310.5543518066406
217,310.491943359375,310.5207824707031
218,310.4690246582031,310.4786071777344
219,310.3822021484375,310.4350891113281
220,310.34710693359375,310.3587646484375
221,310.3098449707031,310.29754638671875
222,310.2188720703125,310.25238037109375
223,310.1091613769531,310.1973876953125
224,309.99041748046875,310.1265869140625
225,309.9101867675781,310.0293884277344
226,309.8925476074219,309.9575500488281
227,309.9075622558594,309.85455322265625
228,309.9004821777344,309.7430725097656
229,309.83154296875,309.6184997558594
230,309.7646789550781,309.4573669433594
231,309.7131652832031,309.2862243652344
232,309.6298522949219,309.1080322265625
233,309.4858093261719,308.9397888183594
234,309.35614013671875,308.80169677734375
235,309.1682434082031,308.6779479980469
236,308.9101867675781,308.5503845214844
237,308.6291809082031,308.4012451171875
238,308.3614196777344,308.2458801269531
239,308.0724182128906,308.095947265625
240,307.7596130371094,307.9309387207031
241,307.4216003417969,307.73614501953125
242,307.07354736328125,307.5642395019531
243,306.75823974609375,307.34259033203125
