Date,Mean,Median,P90,P95,Max,day_of_year_y,threshold_15,threshold_31,month_num,day_num,month_name,Mean>threshold_31,Median>threshold_31,P90>threshold_31,P95>threshold_31,Max>threshold_31,heat_wave
2010-03-05,-0.30670166,3.0000549316406477,6.832977294921875,7.226255798339878,8.690277,64,15.423367309570438,16.099786376953148,3,5,March,No,No,No,No,No,nella norma
2010-03-06,-0.55908203,2.3538909912109602,5.012231445312523,5.241720581054722,6.881958,65,15.715966796875023,16.304071044921898,3,6,March,No,No,No,No,No,nella norma
2010-03-07,-1.1029358,2.2015625000000227,4.591778564453136,4.829780578613281,6.3849792,66,15.988122558593716,16.528436279296898,3,7,March,No,No,No,No,No,nella norma
2010-03-08,-2.118988,0.8833251953125227,3.035061645507824,3.234466552734375,4.7662964,67,16.303002929687523,16.757531738281273,3,8,March,No,No,No,No,No,nella norma
2010-03-09,-2.9233704,0.03421936035158524,3.1158966064453466,3.3670562744140966,4.5700073,68,16.624719238281273,16.973474121093716,3,9,March,No,No,No,No,No,nella norma
2010-03-10,-1.2858276,-0.07820739746091476,2.3091247558593864,3.4065658569336392,9.306976,69,16.909661865234398,17.177148437500023,3,10,March,No,No,No,No,No,nella norma
2010-03-11,-1.0906372,0.19367370605471024,3.2622589111328466,3.6584655761719205,8.023254,70,17.212335205078148,17.358300781250023,3,11,March,No,No,No,No,No,nella norma
2010-03-12,0.668396,0.9570404052734602,6.413171386718773,7.0164978027344205,11.439056,71,17.477716064453148,17.518731689453148,3,12,March,No,No,No,No,No,nella norma
2010-03-13,2.10083,2.6705413818359602,8.438467407226597,8.622239685058616,10.355438,72,17.746331787109398,17.659295654296898,3,13,March,No,No,No,No,No,nella norma
2010-03-14,3.7213135,5.588983154296898,9.307064819335949,9.532586669921898,11.155121,73,17.987359619140648,17.841424560546898,3,14,March,No,No,No,No,No,nella norma
2010-03-15,4.1132812,6.523782348632835,10.402835083007858,10.888038635253906,12.650757,74,18.222711181640648,18.030877685546898,3,15,March,No,No,No,No,No,nella norma
2010-03-16,5.593109,8.941995239257835,11.05983276367192,11.409022521972702,13.318115,75,18.432794189453148,18.233575439453148,3,16,March,No,No,No,No,No,nella norma
2010-03-17,7.0765686,10.186334228515648,11.762222290039062,11.927093505859375,14.308472,76,18.652764892578148,18.448602294921898,3,17,March,No,No,No,No,No,nella norma
2010-03-18,8.347229,10.709756469726585,13.257400512695312,13.486871337890648,15.979675,77,18.821496582031273,18.669854736328148,3,18,March,No,No,No,No,No,nella norma
2010-03-19,8.525757,11.169412231445335,13.519778442382858,13.701318359375023,14.894287,78,18.937310791015648,18.867974853515648,3,19,March,No,No,No,No,No,nella norma
2010-03-20,8.000488,9.95008239746096,13.197512817382858,13.573869323730491,14.779938,79,19.050195312500023,19.015435791015648,3,20,March,No,No,No,No,No,nella norma
2010-03-21,7.969574,9.851174926757835,12.33240661621096,13.446697998046886,14.716675,80,19.118066406250023,19.169305419921898,3,21,March,No,No,No,No,No,nella norma
2010-03-22,8.926392,10.716653442382835,13.1856689453125,13.496206665039097,16.89392,81,19.252770996093716,19.357904052734398,3,22,March,No,No,No,No,No,nella norma
2010-03-23,10.617249,12.715020751953148,15.43604431152346,15.620742797851562,19.43814,82,19.400415039062523,19.534753417968773,3,23,March,No,No,No,No,No,nella norma
2010-03-24,11.171814,14.118508911132835,16.500524902343784,17.01887054443364,19.393616,83,19.565789794921898,19.699914550781273,3,24,March,No,No,No,No,No,nella norma
2010-03-25,10.487213,12.968865966796898,16.343478393554733,16.962234497070312,19.003235,84,19.718804931640648,19.843652343750023,3,25,March,No,No,No,No,No,nella norma
2010-03-26,10.097443,11.77936706542971,16.49017028808595,17.211628723144543,20.326355,85,19.927484130859398,19.970147705078148,3,26,March,No,No,No,No,Yes,1 giorno
2010-03-27,9.377258,12.756524658203148,15.662246704101562,16.06420135498047,16.953094,86,20.095300292968773,20.101129150390648,3,27,March,No,No,No,No,No,nella norma
2010-03-28,10.689545,14.274377441406273,16.68128356933596,16.879380798339866,18.268616,87,20.164666748046898,20.208367919921898,3,28,March,No,No,No,No,No,nella norma
2010-03-29,10.366364,12.93970642089846,16.457922363281284,16.73634948730472,18.568237,88,20.242822265625023,20.314477539062523,3,29,March,No,No,No,No,No,nella norma
2010-03-30,8.491699,10.777947998046898,14.69642944335942,15.434127807617188,17.941406,89,20.352868652343716,20.437402343750023,3,30,March,No,No,No,No,No,nella norma
2010-03-31,9.113831,12.331475830078148,16.311322021484386,16.787759399414085,18.24588,90,20.525811767578148,20.536584472656273,3,31,March,No,No,No,No,No,nella norma
2010-04-01,7.0137634,9.525201416015648,14.38606567382817,15.67767333984375,17.247559,91,20.632653808593716,20.633935546875023,4,1,April,No,No,No,No,No,nella norma
2010-04-02,6.776306,9.910867309570335,13.478729248046875,13.944888305664108,15.036163,92,20.730340576171898,20.707299804687523,4,2,April,No,No,No,No,No,nella norma
2010-04-03,8.164642,10.60688171386721,15.703497314453159,16.162464904785168,17.40863,93,20.889001464843716,20.805383300781273,4,3,April,No,No,No,No,No,nella norma
2010-04-04,8.937988,10.76001892089846,16.63386230468751,17.207795715332054,19.00232,94,21.050469970703148,20.908898925781273,4,4,April,No,No,No,No,No,nella norma
2010-04-05,8.400543,11.932702636718773,15.22998962402346,15.49904174804692,17.499329,95,21.179223632812523,21.025903320312523,4,5,April,No,No,No,No,No,nella norma
2010-04-06,10.051788,12.67640075683596,15.124761962890659,15.311892700195358,16.460999,96,21.277032470703148,21.146661376953148,4,6,April,No,No,No,No,No,nella norma
2010-04-07,11.254517,13.509988403320335,16.232400512695335,16.455718994140625,17.166962,97,21.378839111328148,21.296441650390648,4,7,April,No,No,No,No,No,nella norma
2010-04-08,12.369934,15.041314697265648,17.39612426757816,17.691304016113293,19.64859,98,21.432489013671898,21.466760253906273,4,8,April,No,No,No,No,No,nella norma
2010-04-09,14.06192,17.089929199218773,19.658486938476585,19.956472778320347,21.781616,99,21.489312744140648,21.646630859375023,4,9,April,No,No,No,No,Yes,1 giorno
2010-04-10,14.469543,17.833215332031273,20.50177612304691,20.777732849121094,21.756378,100,21.489862060546898,21.804864501953148,4,10,April,No,No,No,No,No,nella norma
2010-04-11,8.628387,11.850198364257835,15.024642944335938,15.208634948730491,16.266724,101,21.531732177734398,21.976983642578148,4,11,April,No,No,No,No,No,nella norma
2010-04-12,8.641968,11.863366699218773,14.852282714843795,15.078062438964878,16.905762,102,21.679742431640648,22.110162353515648,4,12,April,No,No,No,No,No,nella norma
2010-04-13,9.506165,12.581781005859398,15.742346191406284,16.002862548828148,17.418396,103,21.869256591796898,22.252313232421898,4,13,April,No,No,No,No,No,nella norma
2010-04-14,11.395752,14.650186157226585,17.93367309570317,18.14153289794922,18.99945,104,21.996484375000023,22.377526855468773,4,14,April,No,No,No,No,No,nella norma
2010-04-15,10.991394,13.90973815917971,17.711572265625023,17.9222412109375,18.929535,105,22.157891845703148,22.477655029296898,4,15,April,No,No,No,No,No,nella norma
2010-04-16,12.62085,15.444009399414085,19.178570556640636,19.4955703735352,20.514069,106,22.364129638671898,22.612176513671898,4,16,April,No,No,No,No,No,nella norma
2010-04-17,12.152039,14.81348571777346,18.145816040039108,18.381211853027366,20.16629,107,22.619958496093716,22.745874023437523,4,17,April,No,No,No,No,No,nella norma
2010-04-18,9.821442,12.282952880859398,15.720001220703125,16.682402038574253,18.468414,108,22.814721679687523,22.871362304687523,4,18,April,No,No,No,No,No,nella norma
2010-04-19,14.762939,18.204553222656273,21.09413757324222,21.422100830078136,23.202454,109,22.969934082031273,22.990563964843716,4,19,April,No,No,No,No,Yes,1 giorno
2010-04-20,15.703857,18.88953552246096,22.004702758789108,22.23931579589845,23.315369,110,23.088311767578148,23.100457763671898,4,20,April,No,No,No,No,Yes,2 giorno
2010-04-21,15.881348,19.007043457031273,22.227752685546875,22.48626708984375,23.857544,111,23.200494384765648,23.247979736328148,4,21,April,No,No,No,No,Yes,3 giorno
2010-04-22,15.060791,17.867883300781273,20.9160125732422,21.079568481445335,23.232788,112,23.276696777343716,23.389489746093716,4,22,April,No,No,No,No,No,nella norma
2010-04-23,13.545105,15.84253845214846,18.861550903320335,19.159046936035168,22.15332,113,23.335229492187523,23.542565917968773,4,23,April,No,No,No,No,No,nella norma
2010-04-24,12.2846985,13.781365966796898,16.7431610107422,17.12318267822269,22.653717,114,23.488183593750023,23.711663818359398,4,24,April,No,No,No,No,No,nella norma
2010-04-25,16.805664,19.471047973632835,22.79053955078126,23.093020629882858,24.850555,115,23.646722412109398,23.876458740234398,4,25,April,No,No,No,No,Yes,1 giorno
2010-04-26,17.731232,20.797341918945335,24.067834472656273,24.22163543701174,25.252228,116,23.770471191406273,24.043725585937523,4,26,April,No,No,Yes,Yes,Yes,2 giorno
2010-04-27,14.700745,17.10755310058596,20.268353271484386,21.451203918457054,22.635803,117,23.880395507812523,24.191308593750023,4,27,April,No,No,No,No,No,nella norma
2010-04-28,17.266663,19.997857666015648,23.322024536132858,23.51302185058597,24.54721,118,23.969964599609398,24.352746582031273,4,28,April,No,No,No,No,Yes,1 giorno
2010-04-29,18.438568,21.22712097167971,24.32893676757817,24.537278747558616,25.193909,119,24.082940673828148,24.483117675781273,4,29,April,No,No,No,Yes,Yes,2 giorno
2010-04-30,18.477783,20.763391113281273,24.733435058593784,25.135415649414085,26.749481,120,24.188378906250023,24.597039794921898,4,30,April,No,No,Yes,Yes,Yes,3 giorno
2010-05-01,16.6875,19.207238769531273,23.674963378906284,24.10613708496095,25.110321,121,24.345758056640648,24.720544433593716,5,1,May,No,No,No,No,Yes,4 giorno
2010-05-02,14.184692,16.144006347656273,21.338552856445347,22.222584533691418,23.881348,122,24.516381835937523,24.888726806640648,5,2,May,No,No,No,No,No,nella norma
2010-05-03,15.765778,18.31842956542971,22.804104614257824,23.23291473388673,24.370514,123,24.691400146484398,25.072412109375023,5,3,May,No,No,No,No,No,nella norma
2010-05-04,12.619476,14.768945312500023,17.855697631835938,18.031848144531295,18.834564,124,24.883660888671898,25.238336181640648,5,4,May,No,No,No,No,No,nella norma
2010-05-05,12.858215,13.968530273437523,18.528918457031295,18.906423950195347,20.442657,125,25.119287109375023,25.375939941406273,5,5,May,No,No,No,No,No,nella norma
2010-05-06,10.526184,12.680963134765648,17.21455688476567,17.70649108886721,18.63089,126,25.354364013671898,25.527642822265648,5,6,May,No,No,No,No,No,nella norma
2010-05-07,11.006989,13.52442321777346,17.34088134765625,17.84979858398441,18.914948,127,25.533410644531273,25.712579345703148,5,7,May,No,No,No,No,No,nella norma
2010-05-08,11.71402,14.188958740234398,17.507739257812545,17.764939880371116,18.647247,128,25.717248535156273,25.889093017578148,5,8,May,No,No,No,No,No,nella norma
2010-05-09,13.815826,16.468179321289085,20.57232360839845,20.95033416748049,21.98117,129,25.867059326171898,26.068444824218773,5,9,May,No,No,No,No,No,nella norma
2010-05-10,13.50238,15.28980407714846,20.862197875976562,21.677046203613315,24.02826,130,26.101434326171898,26.268365478515648,5,10,May,No,No,No,No,No,nella norma
2010-05-11,14.725647,17.502420043945335,20.824859619140625,21.107815551757824,22.672852,131,26.336907958984398,26.483392333984398,5,11,May,No,No,No,No,No,nella norma
2010-05-12,15.320709,17.27735290527346,22.38453979492192,22.897273254394577,24.077118,132,26.564447021484398,26.706414794921898,5,12,May,No,No,No,No,No,nella norma
2010-05-13,14.719482,17.064782714843773,22.24420166015625,22.580163574218773,23.678558,133,26.720758056640648,26.907830810546898,5,13,May,No,No,No,No,No,nella norma
2010-05-14,14.299622,16.68793640136721,21.48262634277347,21.805683898925793,22.821014,134,26.869470214843716,27.080163574218773,5,14,May,No,No,No,No,No,nella norma
2010-05-15,11.555054,14.455056762695335,17.499377441406295,18.22314453125,20.324585,135,27.099786376953148,27.235769653320517,5,15,May,No,No,No,No,No,nella norma
2010-05-16,12.897125,16.467004394531273,19.958038330078125,20.27100219726566,22.438812,136,27.295770263671898,27.402124023437523,5,16,May,No,No,No,No,No,nella norma
2010-05-17,14.669159,18.111871337890648,21.045986938476574,21.408441162109398,23.865143,137,27.467340087890648,27.588311767578148,5,17,May,No,No,No,No,No,nella norma
2010-05-18,15.008057,18.525598144531273,21.837512207031295,22.158422851562534,23.579224,138,27.680322265625023,27.802972412109398,5,18,May,No,No,No,No,No,nella norma
2010-05-19,12.560577,15.134179687500023,19.206298828125,19.60811462402347,21.596466,139,27.882440185546898,28.023889160156273,5,19,May,No,No,No,No,No,nella norma
2010-05-20,16.028717,19.16401062011721,21.588589477539074,21.85829772949222,23.331604,140,28.088037109375023,28.242700195312523,5,20,May,No,No,No,No,No,nella norma
2010-05-21,17.828766,20.790093994140648,23.51026000976566,23.807218933105503,25.535187,141,28.248284912109398,28.426019287109398,5,21,May,No,No,No,No,No,nella norma
2010-05-22,19.01004,21.865457153320335,24.82814636230472,25.031155395507824,26.291931,142,28.424676513671898,28.600366210937523,5,22,May,No,No,No,No,No,nella norma
2010-05-23,19.907776,22.663003540039085,25.59346618652347,25.833987426757858,27.45224,143,28.583947753906273,28.772393798828148,5,23,May,No,No,No,No,No,nella norma
2010-05-24,21.102997,23.57483825683596,26.757705688476562,26.926170349121094,27.98645,144,28.728051757812523,28.954461669921898,5,24,May,No,No,No,No,No,nella norma
2010-05-25,22.161163,24.596643066406273,27.42097167968751,27.575790405273438,29.474457,145,28.866967773437523,29.139093017578148,5,25,May,No,No,No,No,Yes,1 giorno
2010-05-26,20.18393,22.267572021484398,26.165499877929733,26.48572540283203,29.029388,146,29.095242309570438,29.367425537109398,5,26,May,No,No,No,No,No,nella norma
2010-05-27,17.699677,19.533380126953148,25.905349731445312,26.264366149902344,28.116547,147,29.363092041015648,29.588616943359398,5,27,May,No,No,No,No,No,nella norma
2010-05-28,19.116302,21.685159301757835,25.9634979248047,26.18324890136722,27.025543,148,29.624688720703148,29.772424316406273,5,28,May,No,No,No,No,No,nella norma
2010-05-29,17.622498,20.296487426757835,23.675079345703125,24.366754150390648,26.391663,149,29.814813232421898,29.952722167968773,5,29,May,No,No,No,No,No,nella norma
2010-05-30,19.10315,22.012612915039085,25.542413330078148,26.037695312500034,26.83429,150,30.006463623046898,30.130548095703148,5,30,May,No,No,No,No,No,nella norma
2010-05-31,16.668213,20.59723815917971,24.977578735351585,25.306622314453136,26.380615,151,30.168389892578148,30.325524902343716,5,31,May,No,No,No,No,No,nella norma
2010-06-01,18.000885,21.38800964355471,24.174914550781295,24.487849426269577,26.508728,152,30.311730957031273,30.557305908203148,6,1,June,No,No,No,No,No,nella norma
2010-06-02,17.764832,21.35785827636721,24.28321533203126,24.628039550781295,26.853912,153,30.496850585937523,30.770898437500023,6,2,June,No,No,No,No,No,nella norma
2010-06-03,19.36792,22.623071289062523,26.269458007812545,26.643840026855514,27.9888,154,30.750634765625023,30.983178710937523,6,3,June,No,No,No,No,No,nella norma
