d_start,d_end,duration,summed_avg_all_residuals,summed_avg_positive_residuals,year
1990-03-07,1990-03-07,1,0.7107117772102356,1.0179394483566284,1990
1990-03-11,1990-03-14,4,8.208725333213806,8.596173763275146,1990
1990-03-19,1990-03-23,5,13.912033677101135,15.121559262275696,1990
1990-10-14,1990-10-14,1,1.2689437866210938,1.4835158586502075,1990
1991-02-24,1991-02-26,3,4.4818274974823,4.794962286949158,1991
1991-03-20,1991-03-20,1,0.8507298827171326,1.5801711082458496,1991
1991-08-11,1991-08-11,1,0.280556321144104,0.6561315059661865,1991
1991-09-06,1991-09-06,1,0.7913631200790405,1.3498039245605469,1991
1992-01-30,1992-01-30,1,1.6066207885742188,2.0983974933624268,1992
1992-03-06,1992-03-06,1,1.9500620365142822,2.2960774898529053,1992
1992-03-21,1992-03-21,1,1.413855791091919,1.9594027996063232,1992
1992-04-25,1992-04-27,3,5.539038777351379,6.103317379951477,1992
1992-05-14,1992-05-17,4,7.006602883338928,7.803712248802185,1992
1992-07-27,1992-07-27,1,0.5060026049613953,0.9131603837013245,1992
1992-08-07,1992-08-09,3,2.8098062872886658,4.2675405740737915,1992
1992-08-19,1992-08-20,2,4.130613803863525,4.307774543762207,1992
1992-08-25,1992-08-28,4,5.514188289642334,6.071383595466614,1992
1992-09-18,1992-09-18,1,0.43403637409210205,0.6853895783424377,1992
1992-11-23,1992-11-23,1,1.4301565885543823,2.3492307662963867,1992
1993-02-07,1993-02-07,1,1.2398680448532104,1.557665467262268,1993
1993-03-17,1993-03-20,4,7.288882076740265,8.171176195144653,1993
1993-05-25,1993-05-26,2,2.434826970100403,2.702105760574341,1993
1993-06-07,1993-06-08,2,1.8896710872650146,2.315328598022461,1993
1993-08-17,1993-08-17,1,0.7243003845214844,1.1394838094711304,1993
1993-08-21,1993-08-22,2,0.9249742329120636,1.8342217206954956,1993
1994-01-13,1994-01-13,1,0.2888675630092621,0.5513694882392883,1994
1994-03-09,1994-03-10,2,3.6485151052474976,3.838384509086609,1994
1994-03-23,1994-03-25,3,5.633946061134338,6.289767384529114,1994
1994-04-30,1994-05-01,2,2.7018625736236572,3.342904806137085,1994
1994-07-03,1994-07-04,2,2.2049582600593567,2.6399605870246887,1994
1994-08-04,1994-08-05,2,2.9750378131866455,3.09077787399292,1994
1994-11-21,1994-11-25,5,5.485055774450302,8.1855908036232,1994
1994-12-10,1994-12-13,4,10.541562974452972,12.135135054588318,1994
1995-02-05,1995-02-05,1,0.7581274509429932,1.805956482887268,1995
1995-02-07,1995-02-07,1,1.8701478242874146,2.115109920501709,1995
1995-04-02,1995-04-03,2,2.2995020151138306,3.4290157556533813,1995
1995-04-07,1995-04-07,1,1.4242013692855835,1.7221348285675049,1995
1995-05-07,1995-05-07,1,0.656976580619812,0.9239780902862549,1995
1995-07-22,1995-07-22,1,0.8059589862823486,1.1091265678405762,1995
1996-01-13,1996-01-13,1,1.0248624086380005,1.8209632635116577,1996
1996-04-20,1996-04-20,1,0.2504130005836487,0.5227558612823486,1996
1996-06-07,1996-06-07,1,0.9394845366477966,1.2171913385391235,1996
1996-06-09,1996-06-12,4,4.308524191379547,5.225424408912659,1996
1997-03-02,1997-03-05,4,7.23296058177948,7.805925369262695,1997
1997-03-17,1997-03-17,1,0.9104112386703491,2.2715957164764404,1997
1997-05-03,1997-05-03,1,1.106426477432251,1.538124680519104,1997
1997-05-14,1997-05-17,4,3.1225607246160507,4.653304636478424,1997
1997-09-09,1997-09-09,1,0.38606730103492737,1.0536773204803467,1997
1997-09-30,1997-10-02,3,5.4908283948898315,7.294839382171631,1997
1997-10-09,1997-10-09,1,0.7280669212341309,1.155328631401062,1997
1998-02-12,1998-02-17,6,15.731166124343872,17.624189615249634,1998
1998-05-11,1998-05-13,3,5.275285243988037,5.802224516868591,1998
1998-06-06,1998-06-06,1,0.606478750705719,1.1705448627471924,1998
1998-07-20,1998-07-20,1,0.4826434254646301,0.6944667100906372,1998
1998-07-23,1998-07-24,2,1.2158557176589966,2.0861584544181824,1998
1998-08-10,1998-08-11,2,3.5318562984466553,3.66826856136322,1998
1999-03-15,1999-03-15,1,0.4615557789802551,1.0939068794250488,1999
1999-04-06,1999-04-06,1,0.40859368443489075,0.6063399910926819,1999
1999-05-31,1999-06-02,3,3.6791576147079468,4.710382342338562,1999
2000-01-31,2000-01-31,1,0.9978587627410889,2.181236505508423,2000
2000-02-06,2000-02-06,1,0.9621800184249878,1.1457525491714478,2000
2000-03-09,2000-03-11,3,5.100959122180939,6.748716354370117,2000
2000-04-21,2000-04-22,2,2.154583215713501,3.058115243911743,2000
2000-04-27,2000-04-27,1,0.6268242001533508,1.2607992887496948,2000
2000-06-03,2000-06-05,3,4.0829304456710815,4.96977972984314,2000
2000-07-07,2000-07-07,1,0.8583081364631653,1.6031371355056763,2000
2000-12-09,2000-12-09,1,1.5619707107543945,2.392246723175049,2000
2000-12-11,2000-12-13,3,3.1927037239074707,4.106459736824036,2000
2001-05-28,2001-05-31,4,5.185425758361816,6.236329674720764,2001
2001-08-02,2001-08-02,1,1.050457239151001,1.2145135402679443,2001
2001-08-27,2001-08-29,3,2.489085465669632,3.6289342045783997,2001
2001-10-30,2001-10-30,1,1.4990023374557495,1.8593274354934692,2001
2002-01-29,2002-01-29,1,1.0401437282562256,1.8545182943344116,2002
2002-02-02,2002-02-02,1,0.4899996817111969,0.8818582892417908,2002
2002-02-12,2002-02-13,2,1.9927876591682434,3.0227073431015015,2002
2002-03-20,2002-03-21,2,4.752159595489502,5.811461448669434,2002
2002-06-16,2002-06-19,4,6.334835648536682,7.247057199478149,2002
2002-06-22,2002-06-23,2,4.335854768753052,4.666671991348267,2002
2002-11-26,2002-11-28,3,4.067379832267761,5.954954504966736,2002
2003-03-10,2003-03-10,1,0.8143092393875122,1.1706738471984863,2003
2003-05-05,2003-05-09,5,14.795267343521118,15.039227485656738,2003
2003-06-06,2003-06-07,2,1.3797603845596313,2.103708565235138,2003
2003-06-10,2003-06-15,6,13.472586214542389,15.258631110191345,2003
2003-06-23,2003-06-25,3,4.477912664413452,5.086701989173889,2003
2003-07-13,2003-07-13,1,0.881847083568573,1.1532217264175415,2003
2003-07-21,2003-07-21,1,0.9119744896888733,1.1385010480880737,2003
2003-08-03,2003-08-05,3,3.8631070256233215,4.497290372848511,2003
2003-08-07,2003-08-13,7,15.275039732456207,15.80207496881485,2003
2003-08-17,2003-08-17,1,0.4783913195133209,0.8886805176734924,2003
2003-12-05,2003-12-05,1,1.2887747287750244,1.4516596794128418,2003
2004-02-04,2004-02-06,3,4.814156413078308,5.4460355043411255,2004
2004-06-10,2004-06-10,1,0.4519929885864258,1.0489739179611206,2004
2004-07-22,2004-07-23,2,0.8499900698661804,1.9748830795288086,2004
2004-09-03,2004-09-03,1,0.6572879552841187,0.9136949181556702,2004
2004-10-05,2004-10-05,1,0.35758113861083984,0.5416535139083862,2004
2004-10-08,2004-10-09,2,0.8243197798728943,1.648051679134369,2004
2004-11-02,2004-11-05,4,8.416045784950256,9.228719234466553,2004
2004-12-08,2004-12-08,1,0.5477677583694458,0.9667341113090515,2004
2005-03-17,2005-03-19,3,6.002748787403107,6.739406585693359,2005
2005-05-01,2005-05-03,3,4.975154638290405,5.251312971115112,2005
2005-05-28,2005-05-30,3,5.966631531715393,6.328431725502014,2005
2005-06-22,2005-06-23,2,2.1410390734672546,2.4361284375190735,2005
2005-06-27,2005-06-29,3,3.0976065397262573,4.043698310852051,2005
2005-07-28,2005-07-29,2,2.2990448474884033,2.669366478919983,2005
2006-05-28,2006-05-28,1,1.027195930480957,1.8411035537719727,2006
2006-06-20,2006-06-21,2,3.440757393836975,3.814460515975952,2006
2006-06-27,2006-06-28,2,2.627773642539978,3.637625575065613,2006
2006-07-20,2006-07-22,3,2.6749423146247864,3.4209072589874268,2006
2006-09-04,2006-09-07,4,5.346514284610748,6.156991243362427,2006
2006-10-27,2006-10-29,3,5.523891091346741,6.335558295249939,2006
2006-11-26,2006-11-27,2,2.435432553291321,3.003471612930298,2006
2006-12-05,2006-12-05,1,0.5909675359725952,0.9605746269226074,2006
2007-01-09,2007-01-09,1,0.6555330753326416,1.2733511924743652,2007
2007-01-11,2007-01-14,4,7.483866214752197,10.116928219795227,2007
2007-01-19,2007-01-21,3,12.759687423706055,13.443490982055664,2007
2007-04-11,2007-04-18,8,13.500675976276398,14.148091316223145,2007
2007-04-20,2007-04-29,10,27.334094762802124,27.86445116996765,2007
2007-05-09,2007-05-12,4,3.6403899788856506,5.122897624969482,2007
2007-05-21,2007-05-25,5,12.756151914596558,13.569760084152222,2007
2007-07-15,2007-07-20,6,5.73846697807312,8.289276361465454,2007
2007-07-27,2007-07-27,1,0.4237804710865021,0.7987736463546753,2007
2008-01-20,2008-01-20,1,0.9315383434295654,1.2978909015655518,2008
2008-01-28,2008-01-28,1,2.4661500453948975,2.488074779510498,2008
2008-02-29,2008-03-03,4,6.744815409183502,8.597440719604492,2008
2008-08-29,2008-08-30,2,1.444874346256256,2.2847858667373657,2008
2008-09-10,2008-09-11,2,4.4527376890182495,4.849853515625,2008
2008-10-12,2008-10-15,4,3.1427317708730698,3.90547913312912,2008
2009-05-20,2009-05-26,7,18.566306352615356,19.842357218265533,2009
2009-06-18,2009-06-18,1,0.6431087255477905,0.8601487278938293,2009
2009-08-19,2009-08-21,3,3.069912374019623,3.5869176983833313,2009
2009-09-02,2009-09-02,1,0.3598444163799286,0.7361524105072021,2009
2009-10-07,2009-10-07,1,0.5201937556266785,0.8308881521224976,2009
2010-07-15,2010-07-17,3,2.6401243805885315,4.059833407402039,2010
2011-01-14,2011-01-14,1,1.4633264541625977,1.9082014560699463,2011
2011-02-06,2011-02-07,2,2.805352807044983,3.9346264600753784,2011
2011-04-01,2011-04-03,3,2.532669335603714,3.000763475894928,2011
2011-04-06,2011-04-12,7,20.332919359207153,21.490585207939148,2011
2011-04-20,2011-04-21,2,0.9208066165447235,1.3599969744682312,2011
2011-05-11,2011-05-11,1,0.7991484999656677,1.122020959854126,2011
2011-05-24,2011-05-25,2,1.6437113881111145,2.10551780462265,2011
2011-08-20,2011-08-25,6,10.155092865228653,11.00443434715271,2011
2011-09-03,2011-09-03,1,1.268369197845459,1.4461528062820435,2011
2011-09-10,2011-09-11,2,1.4092246294021606,1.7934897541999817,2011
2011-09-13,2011-09-17,5,5.568244099617004,6.484431266784668,2011
2011-10-01,2011-10-06,6,10.798898816108704,11.171881675720215,2011
2011-10-11,2011-10-12,2,3.5195703506469727,5.68637228012085,2011
2012-02-24,2012-02-25,2,4.2558757066726685,4.985527276992798,2012
2012-02-29,2012-03-03,4,12.539273142814636,12.760518550872803,2012
2012-03-23,2012-03-23,1,0.408849835395813,0.8111606240272522,2012
2012-03-26,2012-03-26,1,0.4346828758716583,0.8267689347267151,2012
2012-03-28,2012-03-31,4,7.377793192863464,9.49559998512268,2012
2012-04-28,2012-04-28,1,1.5637856721878052,1.7123662233352661,2012
2012-05-10,2012-05-12,3,7.38926100730896,7.804280400276184,2012
2012-06-18,2012-06-20,3,3.102397382259369,4.306274890899658,2012
2012-06-29,2012-07-01,3,6.600896835327148,7.318630576133728,2012
2012-08-18,2012-08-23,6,12.178297460079193,12.833160281181335,2012
2012-10-21,2012-10-22,2,3.3226763010025024,3.560205101966858,2012
2013-01-05,2013-01-06,2,3.6523247957229614,4.979440689086914,2013
2013-04-18,2013-04-18,1,1.4934576749801636,1.6217111349105835,2013
2013-07-28,2013-07-28,1,0.7310677170753479,1.3610972166061401,2013
2013-08-02,2013-08-06,5,8.629587233066559,9.130815327167511,2013
2013-10-26,2013-10-26,1,1.512747049331665,1.6335225105285645,2013
2014-03-17,2014-03-17,1,0.5898325443267822,1.3081140518188477,2014
2014-04-07,2014-04-07,1,0.7062554359436035,0.9715297818183899,2014
2014-06-08,2014-06-12,5,6.128013908863068,7.732295036315918,2014
2014-10-17,2014-10-17,1,0.8642309308052063,1.5630444288253784,2014
2014-10-19,2014-10-21,3,2.6270225048065186,3.999266266822815,2014
2014-11-13,2014-11-13,1,0.5864188075065613,1.0875906944274902,2014
2014-11-24,2014-11-24,1,1.436987042427063,1.8956252336502075,2014
2014-11-29,2014-12-01,3,5.261464595794678,5.90502405166626,2014
2014-12-19,2014-12-19,1,0.9027535915374756,1.1536686420440674,2014
2015-01-10,2015-01-10,1,3.613813877105713,4.095829963684082,2015
2015-04-13,2015-04-16,4,4.844203293323517,5.9889591336250305,2015
2015-04-22,2015-04-22,1,0.9971826672554016,1.132693886756897,2015
2015-05-13,2015-05-14,2,3.768306612968445,4.1755335330963135,2015
2015-06-04,2015-06-07,4,3.865574061870575,4.76801073551178,2015
2015-07-02,2015-07-08,7,16.324657678604126,17.50117552280426,2015
2015-07-12,2015-07-12,1,0.7271669507026672,0.8754982352256775,2015
2015-07-15,2015-07-19,5,5.911781966686249,7.387945890426636,2015
2015-07-21,2015-07-22,2,2.9109365940093994,3.6402939558029175,2015
2015-08-06,2015-08-07,2,2.8890321254730225,3.4198498725891113,2015
2015-08-13,2015-08-13,1,1.0930756330490112,1.3786500692367554,2015
2015-08-29,2015-08-31,3,6.4630924463272095,6.736630082130432,2015
2015-11-06,2015-11-13,8,18.908730149269104,19.283073902130127,2015
2015-11-15,2015-11-18,4,8.021981596946716,9.320217847824097,2015
2015-12-18,2015-12-20,3,2.1687496304512024,3.210384428501129,2015
2016-01-26,2016-01-26,1,1.5623682737350464,2.3748903274536133,2016
2016-02-01,2016-02-01,1,3.3892650604248047,3.8138670921325684,2016
2016-04-03,2016-04-03,1,0.5690342783927917,1.0486419200897217,2016
2016-04-06,2016-04-06,1,1.159414529800415,1.5926750898361206,2016
2016-06-24,2016-06-24,1,0.4305155277252197,0.7184123396873474,2016
2016-08-28,2016-08-28,1,0.6008651256561279,0.7529460191726685,2016
2016-09-03,2016-09-04,2,1.2589523494243622,2.1224979162216187,2016
2016-09-09,2016-09-09,1,0.6190736889839172,1.0877516269683838,2016
2016-09-13,2016-09-14,2,1.8741143941879272,2.458038091659546,2016
2016-11-23,2016-11-26,4,4.3907535672187805,5.884552240371704,2016
2016-12-26,2016-12-26,1,1.7823944091796875,2.2494897842407227,2016
2017-03-17,2017-03-17,1,0.4166542887687683,0.7448797821998596,2017
2017-03-19,2017-03-20,2,2.6023800373077393,3.1843721866607666,2017
2017-03-25,2017-03-25,1,0.6244156360626221,1.0831012725830078,2017
2017-03-29,2017-03-31,3,4.092418015003204,4.2545870542526245,2017
2017-04-03,2017-04-03,1,1.2949516773223877,1.3750663995742798,2017
2017-04-08,2017-04-11,4,6.397435188293457,7.027161002159119,2017
2017-04-13,2017-04-14,2,2.7285860776901245,3.177250385284424,2017
2017-05-24,2017-05-24,1,0.5019896626472473,1.1307353973388672,2017
2017-05-28,2017-06-01,5,8.029267072677612,8.912428736686707,2017
2017-06-03,2017-06-03,1,0.9248137474060059,1.4286271333694458,2017
2017-06-12,2017-06-13,2,5.17200231552124,5.2666778564453125,2017
2017-06-20,2017-06-24,5,8.475485473871231,9.35455447435379,2017
2017-07-06,2017-07-09,4,5.077339828014374,6.572856307029724,2017
2017-08-01,2017-08-05,5,16.0641872882843,16.309324502944946,2017
2017-08-18,2017-08-18,1,0.8698387145996094,1.160933017730713,2017
2017-08-26,2017-08-27,2,2.4728556871414185,3.217033326625824,2017
2017-08-30,2017-08-30,1,1.1705021858215332,1.269632339477539,2017
2017-10-15,2017-10-17,3,4.825739145278931,5.321227312088013,2017
2017-10-26,2017-10-26,1,1.2803558111190796,1.8606117963790894,2017
2018-01-29,2018-01-29,1,0.8447076082229614,1.088476538658142,2018
2018-04-20,2018-04-26,7,15.227412104606628,16.59717857837677,2018
2018-09-12,2018-09-12,1,0.6078895330429077,0.8337947726249695,2018
2018-09-20,2018-09-21,2,1.2303718328475952,2.1621901988983154,2018
2018-10-18,2018-10-19,2,1.3651275038719177,1.816314458847046,2018
2018-10-24,2018-10-25,2,1.5951935648918152,3.2448856830596924,2018
2018-11-13,2018-11-13,1,1.2539680004119873,1.4763492345809937,2018
2019-02-17,2019-02-17,1,1.1161329746246338,1.174909234046936,2019
2019-02-22,2019-02-22,1,1.2741340398788452,2.380678176879883,2019
2019-02-26,2019-02-28,3,9.774718284606934,10.107776403427124,2019
2019-03-16,2019-03-16,1,1.0731974840164185,1.357352614402771,2019
2019-03-23,2019-03-24,2,2.468260407447815,3.004217743873596,2019
2019-03-31,2019-04-01,2,0.9284684360027313,1.6031031012535095,2019
2019-06-26,2019-06-28,3,11.955247640609741,12.281564712524414,2019
2019-06-30,2019-07-02,3,5.8183512687683105,6.52462899684906,2019
2019-07-05,2019-07-06,2,1.7879005074501038,2.2750768065452576,2019
2019-07-23,2019-07-24,2,2.321162700653076,2.9306342601776123,2019
2019-10-22,2019-10-23,2,2.6408004760742188,3.0638856887817383,2019
2019-10-26,2019-10-27,2,2.1548532843589783,2.5838080644607544,2019
2019-11-25,2019-11-25,1,1.3687905073165894,2.145522117614746,2019
2020-02-03,2020-02-03,1,1.9160828590393066,2.990342617034912,2020
2020-02-23,2020-02-24,2,4.637362957000732,5.029055595397949,2020
2020-04-10,2020-04-13,4,7.17974466085434,8.056347846984863,2020
2020-04-17,2020-04-19,3,5.0939865708351135,5.523390293121338,2020
2020-04-24,2020-04-25,2,0.9124616384506226,1.8248727321624756,2020
2020-07-30,2020-08-01,3,3.3732141852378845,4.1389830112457275,2020
2020-09-12,2020-09-17,6,6.69683974981308,8.19469404220581,2020
2020-12-22,2020-12-22,1,1.0107877254486084,1.3857483863830566,2020
2021-02-23,2021-02-26,4,7.189456462860107,8.113725066184998,2021
2021-03-30,2021-04-02,4,10.85373067855835,11.815146446228027,2021
2021-06-19,2021-06-20,2,1.8614938259124756,2.5939595699310303,2021
2021-06-28,2021-06-28,1,0.5532617568969727,1.0298597812652588,2021
2021-08-12,2021-08-15,4,7.340336441993713,7.740702986717224,2021
2021-09-13,2021-09-13,1,0.8768333792686462,1.3041146993637085,2021
2021-12-30,2021-12-31,2,5.848484992980957,5.870301961898804,2021
2022-01-01,2022-01-02,2,5.181349515914917,5.438634276390076,2022
2022-03-28,2022-03-28,1,0.744975209236145,0.8842108249664307,2022
2022-04-14,2022-04-15,2,3.2246662378311157,3.4940412044525146,2022
2022-05-11,2022-05-13,3,2.3008050322532654,3.015482783317566,2022
